bucket,diag_Q
1mo,5.673975871223569
2mo,4.552905198776763
3mo,4.085411835870554
4mo,3.794159357462115
6mo,6.052411197365289
1y,16.71228954531703
2y,31.444127432200823
3y,32.12455556675735
5y,32.16688846321868
7y,31.54638236381361
10y,27.20389824243049
20y,24.818688039789006
30y,24.338125483079583
USDBRL,0.47122239815654215
USDCOP,0.6304157930954251
USDCLP,0.474796977514317
USDPEN,0.12678202828150692
USDMXN,0.4887430566667115
USDEUR,0.20227515430784854
USDGBP,0.19477825330628143
USDJPY,0.40165533132250275
USDAUD,0.367094986856714
USDCHF,0.27295133647247183
